"項目","1.産業","1.産業_農業","1.産業_林業","1.産業_水産業","1.産業_鉱業","1.産業_製造業","1.産業_建設業","1.産業_電気・ガス","1.産業_卸売・小売業","1.産業_金融・保険業","1.産業_不動産業","1.産業_運輸業","1.産業_情報通信業","1.産業_サービス業","2.政府サービス生産者","3.対家計民間非営利サービス生産者"," 小  計(1+2+3)","輸入品に課される税・関税","（控除）総資本形成に係る消費税","市町村内総 生 産","（再掲）第一次産業","（再掲）第二次産業","（再掲）第三次産業"
"和歌山県計","85.8","2.1","0.2","0.4","0.4","26.2","4.9","2.8","10.4","5.3","10.0","3.4","2.6","17.1","12.1","1.7","99.6","0.8","0.4","100.0","2.6","31.6","65.5"
"和歌山市","86.5","0.4","0.0","0.0","0.8","31.9","3.1","2.8","9.9","6.5","9.1","3.6","2.9","15.5","11.7","1.4","99.6","0.8","0.4","100.0","0.4","35.7","63.5"
"海南市","92.5","1.6","0.0","0.1","0.1","44.6","3.5","2.7","8.1","2.6","9.9","6.0","2.4","11.0","6.1","1.0","99.6","0.8","0.4","100.0","1.7","48.2","49.7"
"橋本市","84.9","1.9","0.1","0.0","0.1","16.9","8.8","4.2","10.3","5.4","14.6","3.3","2.3","17.0","12.7","2.0","99.6","0.8","0.4","100.0","2.0","25.8","71.8"
"有田市","93.3","2.2","0.0","1.1","0.0","55.0","2.9","0.7","5.6","2.5","8.7","2.0","1.3","11.4","5.5","0.8","99.6","0.8","0.4","100.0","3.3","57.8","38.5"
"御坊市","80.8","2.7","0.0","0.6","0.0","9.0","6.5","5.7","16.1","5.8","8.3","2.5","1.9","21.7","17.7","1.2","99.6","0.8","0.4","100.0","3.3","15.5","80.9"
"田辺市","83.6","3.3","0.6","0.7","0.2","8.5","6.6","4.1","16.0","6.6","8.9","2.3","3.4","22.5","14.0","2.0","99.6","0.8","0.4","100.0","4.6","15.3","79.7"
"新宮市","80.9","0.4","0.3","0.1","0.1","5.1","6.6","6.3","17.1","6.6","8.3","2.7","4.0","23.2","16.1","2.6","99.6","0.8","0.4","100.0","0.9","11.8","86.9"
"紀の川市","87.7","7.5","0.1","0.2","0.3","25.4","5.8","2.1","9.2","3.3","13.7","3.6","1.6","14.9","9.3","2.6","99.6","0.8","0.4","100.0","7.8","31.5","60.4"
"岩出市","82.0","1.3","0.0","0.0","1.2","7.2","6.4","0.7","17.9","4.3","16.5","2.1","2.8","21.6","15.3","2.3","99.6","0.8","0.4","100.0","1.3","14.7","83.5"
"海草郡_紀美野町","85.1","5.6","0.4","0.1","0.0","24.1","11.4","1.0","6.4","3.0","10.4","1.6","2.0","19.3","13.4","1.1","99.6","0.8","0.4","100.0","6.0","35.5","58.1"
"伊都郡_かつらぎ町","78.8","7.7","0.3","0.0","0.2","19.1","8.9","1.0","6.9","2.8","12.1","2.7","1.6","15.5","19.8","1.0","99.6","0.8","0.4","100.0","8.0","28.2","63.4"
"伊都郡_九度山町","85.1","7.9","0.6","0.0","0.0","7.9","7.9","1.4","7.1","6.4","17.3","4.8","2.6","21.0","11.2","3.3","99.6","0.8","0.4","100.0","8.6","15.9","75.2"
"伊都郡_高野町","68.6","0.8","1.0","0.0","0.0","6.1","7.5","0.6","8.5","4.6","8.1","3.8","1.7","25.9","9.2","21.8","99.6","0.8","0.4","100.0","1.7","13.6","84.3"
"有田郡_湯浅町","74.2","3.4","0.0","0.9","0.0","9.5","4.6","1.5","14.6","5.8","12.0","3.7","1.9","16.3","23.5","2.0","99.6","0.8","0.4","100.0","4.3","14.0","81.3"
"有田郡_広川町","78.2","8.1","0.5","0.7","0.0","20.9","10.0","0.5","5.2","2.1","12.6","5.8","1.7","10.2","18.0","3.4","99.6","0.8","0.4","100.0","9.3","30.9","59.4"
"有田郡_有田川町","84.7","8.5","0.5","0.6","0.0","15.7","8.0","1.3","11.3","3.0","11.5","5.5","2.1","16.7","13.3","1.6","99.6","0.8","0.4","100.0","9.7","23.7","66.2"
"日高郡_美浜町","72.0","2.5","0.1","0.5","0.0","13.2","9.0","1.3","4.5","2.1","13.6","0.5","1.8","22.9","25.5","2.1","99.6","0.8","0.4","100.0","3.1","22.2","74.3"
"日高郡_日高町","86.6","6.8","0.2","8.4","0.9","9.6","14.6","2.3","7.6","3.0","15.2","2.4","2.0","13.5","11.0","2.0","99.6","0.8","0.4","100.0","15.4","25.2","59.0"
"日高郡_由良町","90.8","2.4","0.1","1.1","0.0","49.7","6.9","0.9","5.7","2.5","8.0","2.4","1.1","9.9","7.3","1.6","99.6","0.8","0.4","100.0","3.5","56.6","39.5"
"日高郡印南町","90.2","12.5","0.5","0.4","0.0","26.7","14.5","0.8","7.6","3.3","7.6","1.1","1.7","13.5","7.8","1.6","99.6","0.8","0.4","100.0","13.4","41.2","45.0"
"日高郡みなべ町","89.4","14.0","0.4","1.4","0.0","32.6","8.6","0.7","6.6","2.4","9.0","1.1","1.1","11.4","8.8","1.4","99.6","0.8","0.4","100.0","15.8","41.2","42.6"
"日高郡日高川町","83.0","7.0","1.6","1.5","0.0","24.6","12.5","4.5","3.4","2.6","8.2","3.1","1.7","12.3","14.2","2.5","99.6","0.8","0.4","100.0","10.1","37.1","52.4"
"西牟婁郡_白浜町","87.4","1.7","0.3","0.5","0.0","7.5","5.3","1.8","8.9","2.6","10.2","4.2","2.0","42.3","9.9","2.3","99.6","0.8","0.4","100.0","2.5","12.8","84.2"
"西牟婁郡_上富田町","79.4","3.0","0.3","0.0","0.0","25.0","6.8","1.7","10.0","2.4","10.4","3.2","1.7","15.1","17.2","3.0","99.6","0.8","0.4","100.0","3.3","31.8","64.6"
"西牟婁郡_すさみ町","79.9","1.9","1.8","2.2","1.3","12.7","10.2","1.7","7.1","4.2","11.6","1.1","2.5","21.5","17.1","2.7","99.6","0.8","0.4","100.0","5.9","24.2","69.5"
"東牟婁郡_那智勝浦町","90.0","0.9","0.5","2.4","0.0","4.4","7.1","1.7","13.4","4.5","12.3","2.3","2.9","37.5","7.6","1.9","99.6","0.8","0.4","100.0","3.8","11.5","84.3"
"東牟婁郡_太地町","85.3","0.5","0.1","13.6","0.0","8.6","6.5","1.7","8.3","4.5","17.7","0.5","2.9","20.4","12.5","1.8","99.6","0.8","0.4","100.0","14.2","15.1","70.3"
"東牟婁郡_古座川町","66.8","2.5","5.8","0.9","0.0","3.3","12.7","3.1","5.8","4.5","11.3","0.0","3.5","13.4","24.8","8.1","99.6","0.8","0.4","100.0","9.2","16.0","74.4"
"東牟婁郡_北山村","83.0","0.5","1.4","0.0","0.0","0.4","17.1","47.0","0.7","2.3","3.4","0.0","2.0","8.1","14.6","2.0","99.6","0.8","0.4","100.0","1.9","17.5","80.2"
"東牟婁郡_串本町","73.7","0.5","0.3","2.7","0.0","4.3","6.7","2.5","11.2","5.0","11.3","1.2","2.5","25.5","23.8","2.1","99.6","0.8","0.4","100.0","3.5","11.1","85.1"
"海草地区","87.3","0.6","0.0","0.0","0.7","33.3","3.2","2.8","9.6","6.0","9.2","3.9","2.9","15.0","11.0","1.4","99.6","0.8","0.4","100.0","0.7","37.2","61.7"
"那賀地区","85.8","5.4","0.1","0.1","0.6","19.3","6.0","1.6","12.1","3.7","14.6","3.1","2.0","17.2","11.3","2.5","99.6","0.8","0.4","100.0","5.6","25.8","68.2"
"伊都地区","82.5","3.3","0.2","0.0","0.1","16.2","8.7","3.2","9.3","4.8","13.7","3.3","2.1","17.4","13.9","3.2","99.6","0.8","0.4","100.0","3.5","25.1","71.0"
"有田地区","86.9","4.6","0.2","0.9","0.0","34.4","5.1","1.0","8.6","3.1","10.3","3.5","1.6","13.6","11.3","1.4","99.6","0.8","0.4","100.0","5.7","39.5","54.4"
"日高地区","84.1","6.3","0.3","1.3","0.0","20.8","8.9","3.3","10.0","3.9","9.0","2.0","1.6","16.6","14.0","1.5","99.6","0.8","0.4","100.0","7.9","29.8","61.9"
"西牟婁地区","83.7","2.9","0.6","0.6","0.2","10.2","6.5","3.3","13.7","5.3","9.4","2.7","2.9","25.4","13.7","2.2","99.6","0.8","0.4","100.0","4.1","16.9","78.6"
"東牟婁地区","80.7","0.6","0.6","1.6","0.1","4.7","7.0","4.8","14.2","5.6","10.1","2.1","3.4","26.0","16.4","2.5","99.6","0.8","0.4","100.0","2.7","11.9","85.0"
