"項目","1.産業","1.産業_農業","1.産業_林業","1.産業_水産業","1.産業_鉱業","1.産業_製造業","1.産業_建設業","1.産業_電気・ガス","1.産業_卸売・小売業","1.産業_金融・保険業","1.産業_不動産業","1.産業_運輸業","1.産業_情報通信業","1.産業_サービス業","2.政府サービス生産者","3.対家計民間非営利サービス生産者"," 小  計(1+2+3)","輸入品に課される税・関税","（控除）総資本形成に係る消費税","市町村内総 生 産","（再掲）第一次産業","（再掲）第二次産業","（再掲）第三次産業"
"和歌山県計","3073481.0","74099.0","5730.0","12601.0","16006.0","937690.0","176699.0","101013.0","373554.0","189622.0","359874.0","120823.0","93205.0","612565.0","432900.0","62158.0","3568539.0","27926.0","14275.0","3582190.0","92430.0","1130395.0","2345714.0"
"和歌山市","1468872.0","6278.0","128.0","466.0","13198.0","540597.0","51842.0","48261.0","168166.0","110732.0","154960.0","60965.0","49889.0","263391.0","197947.0","23909.0","1690728.0","13231.0","6763.0","1697196.0","6872.0","605637.0","1078219.0"
"海南市","223756.0","3894.0","41.0","170.0","248.0","107888.0","8526.0","6535.0","19531.0","6385.0","23876.0","14412.0","5686.0","26567.0","14687.0","2491.0","240935.0","1885.0","964.0","241856.0","4104.0","116661.0","120169.0"
"橋本市","140137.0","3123.0","162.0","9.0","150.0","27823.0","14589.0","6931.0","17041.0","8929.0","24157.0","5496.0","3742.0","27985.0","21005.0","3268.0","164410.0","1287.0","658.0","165039.0","3293.0","42562.0","118555.0"
"有田市","122955.0","2849.0","15.0","1471.0","0.0","72462.0","3761.0","982.0","7370.0","3309.0","11424.0","2608.0","1677.0","15027.0","7295.0","1039.0","131289.0","1027.0","525.0","131791.0","4334.0","76224.0","50731.0"
"御坊市","84944.0","2828.0","29.0","591.0","0.0","9458.0","6796.0","6017.0","16947.0","6095.0","8709.0","2653.0","1991.0","22829.0","18592.0","1212.0","104748.0","820.0","419.0","105148.0","3449.0","16254.0","85045.0"
"田辺市","203572.0","8024.0","1511.0","1591.0","395.0","20794.0","16105.0","9900.0","39051.0","16115.0","21590.0","5538.0","8163.0","54793.0","34100.0","4918.0","242590.0","1898.0","970.0","243518.0","11127.0","37294.0","194169.0"
"新宮市","90876.0","483.0","392.0","166.0","158.0","5729.0","7367.0","7101.0","19252.0","7386.0","9273.0","2987.0","4487.0","26095.0","18137.0","2946.0","111959.0","876.0","448.0","112387.0","1041.0","13254.0","97664.0"
"紀の川市","141984.0","12086.0","148.0","324.0","467.0","41125.0","9396.0","3332.0","14893.0","5404.0","22195.0","5825.0","2609.0","24180.0","15056.0","4209.0","161249.0","1262.0","645.0","161866.0","12557.0","50988.0","97704.0"
"岩出市","67763.0","1082.0","18.0","1.0","956.0","5957.0","5270.0","599.0","14751.0","3570.0","13617.0","1725.0","2347.0","17869.0","12675.0","1860.0","82298.0","644.0","329.0","82613.0","1102.0","12183.0","69014.0"
"海草郡_紀美野町","26271.0","1723.0","113.0","30.0","0.0","7429.0","3512.0","312.0","1963.0","918.0","3205.0","490.0","621.0","5954.0","4122.0","352.0","30745.0","241.0","123.0","30862.0","1866.0","10941.0","17937.0"
"伊都郡_かつらぎ町","41354.0","4052.0","143.0","7.0","113.0","10019.0","4684.0","531.0","3607.0","1481.0","6342.0","1394.0","835.0","8145.0","10384.0","530.0","52268.0","409.0","209.0","52468.0","4203.0","14816.0","33249.0"
"伊都郡_九度山町","8204.0","762.0","63.0","0.0","0.0","764.0","765.0","139.0","688.0","614.0","1665.0","465.0","251.0","2029.0","1081.0","321.0","9607.0","75.0","38.0","9643.0","825.0","1529.0","7253.0"
"伊都郡_高野町","11916.0","133.0","166.0","0.0","0.0","1068.0","1294.0","111.0","1476.0","807.0","1412.0","667.0","291.0","4490.0","1601.0","3784.0","17301.0","135.0","69.0","17367.0","299.0","2361.0","14640.0"
"有田郡_湯浅町","29906.0","1359.0","9.0","356.0","0.0","3811.0","1841.0","620.0","5881.0","2336.0","4846.0","1500.0","780.0","6567.0","9459.0","795.0","40160.0","314.0","161.0","40313.0","1724.0","5652.0","32783.0"
"有田郡_広川町","13795.0","1429.0","89.0","116.0","0.0","3686.0","1770.0","82.0","919.0","366.0","2218.0","1014.0","304.0","1802.0","3168.0","607.0","17570.0","137.0","70.0","17637.0","1634.0","5456.0","10479.0"
"有田郡_有田川町","66545.0","6683.0","411.0","510.0","0.0","12322.0","6303.0","988.0","8846.0","2364.0","9041.0","4352.0","1626.0","13099.0","10465.0","1230.0","78241.0","612.0","313.0","78540.0","7604.0","18626.0","52011.0"
"日高郡_美浜町","12627.0","443.0","11.0","86.0","0.0","2316.0","1581.0","226.0","781.0","377.0","2383.0","95.0","310.0","4016.0","4472.0","361.0","17459.0","137.0","70.0","17526.0","541.0","3898.0","13021.0"
"日高郡_日高町","11877.0","935.0","33.0","1149.0","126.0","1320.0","2004.0","312.0","1042.0","417.0","2079.0","328.0","280.0","1849.0","1505.0","279.0","13661.0","107.0","55.0","13713.0","2118.0","3451.0","8092.0"
"日高郡_由良町","22213.0","581.0","16.0","271.0","0.0","12154.0","1698.0","230.0","1393.0","612.0","1970.0","591.0","279.0","2417.0","1784.0","385.0","24382.0","191.0","98.0","24475.0","868.0","13853.0","9661.0"
"日高郡印南町","20460.0","2839.0","106.0","89.0","0.0","6065.0","3285.0","174.0","1726.0","738.0","1729.0","258.0","395.0","3056.0","1779.0","367.0","22605.0","177.0","90.0","22691.0","3033.0","9350.0","10221.0"
"日高郡みなべ町","44031.0","6909.0","179.0","703.0","0.0","16043.0","4237.0","364.0","3243.0","1201.0","4453.0","526.0","560.0","5613.0","4343.0","684.0","49058.0","384.0","196.0","49245.0","7791.0","20280.0","20987.0"
"日高郡日高川町","24611.0","2069.0","481.0","457.0","0.0","7307.0","3696.0","1331.0","1012.0","772.0","2420.0","916.0","490.0","3662.0","4207.0","729.0","29548.0","231.0","118.0","29661.0","3007.0","11003.0","15538.0"
"西牟婁郡_白浜町","60629.0","1212.0","229.0","328.0","13.0","5175.0","3705.0","1230.0","6167.0","1828.0","7090.0","2921.0","1412.0","29320.0","6893.0","1583.0","69105.0","541.0","276.0","69370.0","1768.0","8893.0","58444.0"
"西牟婁郡_上富田町","30594.0","1148.0","98.0","15.0","4.0","9617.0","2619.0","653.0","3843.0","910.0","4008.0","1226.0","657.0","5797.0","6637.0","1138.0","38370.0","300.0","153.0","38517.0","1260.0","12240.0","24870.0"
"西牟婁郡_すさみ町","10641.0","256.0","233.0","296.0","174.0","1691.0","1362.0","221.0","945.0","563.0","1548.0","145.0","340.0","2868.0","2277.0","356.0","13275.0","104.0","53.0","13325.0","785.0","3227.0","9262.0"
"東牟婁郡_那智勝浦町","40858.0","408.0","249.0","1072.0","0.0","1985.0","3222.0","790.0","6080.0","2057.0","5593.0","1044.0","1335.0","17025.0","3466.0","878.0","45202.0","354.0","181.0","45375.0","1728.0","5207.0","38267.0"
"東牟婁郡_太地町","5199.0","30.0","8.0","831.0","0.0","526.0","393.0","103.0","508.0","272.0","1078.0","30.0","178.0","1243.0","763.0","111.0","6074.0","48.0","24.0","6097.0","869.0","920.0","4285.0"
"東牟婁郡_古座川町","5085.0","194.0","444.0","67.0","2.0","249.0","966.0","233.0","444.0","341.0","862.0","2.0","263.0","1020.0","1887.0","616.0","7589.0","59.0","30.0","7618.0","704.0","1217.0","5668.0"
"東牟婁郡_北山村","2454.0","14.0","43.0","0.0","0.0","10.0","506.0","1390.0","21.0","68.0","102.0","0.0","59.0","240.0","432.0","59.0","2945.0","23.0","12.0","2956.0","57.0","516.0","2372.0"
