"項目","1.産業","1.産業_農業","1.産業_林業","1.産業_水産業","1.産業_鉱業","1.産業_製造業","1.産業_建設業","1.産業_電気・ガス","1.産業_卸売・小売業","1.産業_金融・保険業","1.産業_不動産業","1.産業_運輸業","1.産業_情報通信業","1.産業_サービス業","2.政府サービス生産者","3.対家計民間非営利サービス生産者"," 小  計(1+2+3)","輸入品に課される税・関税","（控除）総資本形成に係る消費税","市町村内総 生 産","（再掲）第一次産業","（再掲）第二次産業","（再掲）第三次産業"
"和歌山県計","0.3","8.0","-22.9","-0.5","-25.1","-1.7","-0.7","8.3","0.6","-1.2","2.2","11.8","-3.6","0.2","-0.8","-0.4","0.2","4.8","-2.0","0.2","5.0","-1.9","1.0"
"和歌山市","2.2","1.3","-24.2","22.1","-26.3","3.2","10.0","8.3","0.9","-2.8","2.2","12.4","-1.4","0.2","-1.8","1.9","1.8","6.5","-0.5","1.8","2.1","3.1","0.9"
"海南市","-0.6","6.7","-20.9","9.7","-8.4","-2.8","-3.4","11.0","1.9","0.3","-3.0","8.0","-7.9","0.8","-6.0","-4.3","-1.0","3.6","-3.2","-1.0","6.6","-2.9","0.3"
"橋本市","-3.2","18.4","-24.6","17.1","-26.1","-13.3","-29.5","5.3","-2.9","-0.7","2.1","32.2","0.6","1.7","0.9","2.3","-2.5","2.0","-4.7","-2.5","16.2","-20.7","1.9"
"有田市","-16.2","14.5","-25.0","49.1","-","-27.4","2.8","12.1","8.7","1.5","4.1","9.9","-9.1","0.0","4.5","-1.7","-15.2","-11.3","-17.1","-15.2","22.3","-26.3","3.4"
"御坊市","-0.4","5.1","-21.7","-11.9","-","-7.3","-10.0","14.4","-5.2","1.2","4.2","20.8","-3.8","-0.8","-2.3","11.8","-0.6","4.0","-2.8","-0.6","2.5","-8.5","0.7"
"田辺市","-1.0","7.5","-22.1","-2.4","-10.2","-13.9","-10.8","11.2","1.4","-0.8","2.9","11.8","-15.9","1.4","0.3","0.7","-0.7","3.8","-2.9","-0.7","2.4","-12.4","1.3"
"新宮市","3.1","-5.1","-22.9","-52.7","-8.9","5.6","26.4","6.7","-1.0","1.6","4.2","14.8","1.7","-0.8","-0.2","-0.3","2.5","7.2","0.3","2.5","-21.3","16.7","1.1"
"紀の川市","1.9","2.8","-22.0","-15.3","-26.5","0.7","7.0","14.3","-0.4","0.3","0.6","10.5","-6.9","2.0","4.0","-4.4","1.9","6.6","-0.3","2.0","2.1","1.7","2.0"
"岩出市","4.7","-1.9","-27.7","17.1","-21.3","-8.1","33.8","-3.2","1.1","12.0","3.6","8.4","-7.6","2.1","2.9","-2.6","4.3","9.1","2.0","4.4","-2.8","13.6","2.7"
"海草郡_紀美野町","-4.0","1.1","-20.8","17.1","-","-7.6","-10.8","-7.9","-18.7","-1.9","2.8","5.4","-6.7","0.9","-7.9","1.0","-4.5","-0.1","-6.6","-4.5","0.3","-8.5","-2.9"
"伊都郡_かつらぎ町","1.5","17.6","-19.7","17.1","-10.4","3.1","-13.2","7.1","3.7","-0.3","2.2","11.1","-6.9","-0.8","-7.5","0.0","-0.2","4.4","-2.4","-0.2","16.3","-2.5","-1.2"
"伊都郡_九度山町","1.9","26.4","-27.3","-","-","-19.8","18.4","-5.7","-7.1","-4.3","2.0","9.2","-5.5","0.8","6.6","-1.7","2.3","7.0","0.1","2.3","22.1","-0.8","0.9"
"伊都郡_高野町","-5.2","-8.2","-18.9","-","-","-25.9","-30.7","2.0","-4.9","-1.8","3.2","5.3","-6.8","3.3","-4.5","-6.8","-5.4","-1.1","-7.5","-5.4","-14.2","-28.6","-1.2"
"有田郡_湯浅町","3.1","10.8","-31.7","30.2","-","-14.0","73.9","6.9","0.8","6.9","3.8","-19.2","-1.6","0.3","0.0","2.1","2.4","7.1","0.1","2.4","14.2","11.7","0.4"
"有田郡_広川町","-1.7","7.0","-22.1","34.6","-","-8.6","-11.8","-5.8","1.3","-2.4","5.3","11.1","-7.6","-1.4","7.3","-7.3","-0.1","4.5","-2.3","-0.1","6.3","-9.8","3.8"
"有田郡_有田川町","0.7","9.5","-26.8","22.4","-","0.6","-17.0","8.2","3.6","1.3","4.7","-1.5","-7.2","1.6","-2.5","-0.3","0.2","4.8","-2.0","0.2","8.3","-5.8","1.2"
"日高郡_美浜町","5.9","9.1","-31.6","4.2","-","23.0","3.0","-2.3","4.6","-2.6","4.4","5.2","-7.9","2.7","3.8","1.0","5.2","10.1","2.9","5.3","7.7","14.5","3.0"
"日高郡_日高町","3.8","7.4","-13.1","6.6","-32.4","-7.9","15.7","1.4","-0.6","-2.7","5.6","10.8","-7.2","2.0","47.7","4.6","8.3","13.3","5.9","8.3","6.6","4.4","10.5"
"日高郡_由良町","2.5","13.6","-22.9","-18.1","-","10.3","-28.3","-5.7","-8.4","-0.6","5.4","3.6","-10.9","-0.4","10.1","13.1","3.4","8.2","1.1","3.4","5.0","4.4","2.2"
"日高郡印南町","6.1","12.3","-17.8","10.9","-","13.1","-20.1","-24.0","-6.4","-3.0","13.6","240.6","-4.2","-0.9","17.4","-7.9","6.8","11.7","4.4","6.8","11.1","2.2","10.2"
"日高郡みなべ町","-4.0","7.7","-24.0","-16.6","-","-12.7","-30.9","6.1","13.2","-0.4","0.1","127.5","-1.3","1.4","-1.7","-12.9","-3.9","0.5","-6.0","-3.9","4.5","-17.3","5.4"
"日高郡日高川町","4.4","6.7","-21.7","-16.5","-","23.6","-0.7","-3.5","-5.3","-4.2","4.8","-34.6","-5.2","-4.9","5.7","0.2","4.5","9.3","2.2","4.5","-0.5","15.5","-2.3"
"西牟婁郡_白浜町","-3.9","16.1","-23.2","-146.7","-32.0","-19.3","-7.0","4.0","-1.0","-0.1","1.1","5.2","-4.2","-4.4","-3.3","-4.1","-3.9","0.6","-6.0","-3.8","-3.8","-13.1","-2.5"
"西牟婁郡_上富田町","5.9","14.7","-20.0","17.1","-100.0","-2.7","44.9","29.1","12.2","0.3","5.0","13.8","-3.8","-1.3","2.6","-12.1","4.9","9.8","2.6","5.0","12.2","5.7","4.1"
"西牟婁郡_すさみ町","-7.3","13.9","-24.9","-36.8","-15.4","-7.4","-35.7","-0.7","-2.9","-1.4","2.8","1.4","-4.0","-4.5","-6.0","2.9","-6.8","-2.5","-8.8","-6.7","-15.6","-17.3","-2.7"
"東牟婁郡_那智勝浦町","-4.4","0.8","-24.9","-32.3","-","-17.9","-10.1","-5.1","-7.1","-0.2","1.6","2.7","-5.2","-2.4","-0.3","-5.4","-4.1","0.3","-6.2","-4.1","-22.6","-13.2","-2.2"
"東牟婁郡_太地町","-2.5","35.8","-32.3","31.2","-","-14.1","-34.3","-5.5","2.2","0.0","1.8","2.8","-6.4","-4.8","-7.3","-8.0","-3.2","1.3","-5.3","-3.2","30.7","-25.1","-2.6"
