"項目","1.産業","1.産業_農業","1.産業_林業","1.産業_水産業","1.産業_鉱業","1.産業_製造業","1.産業_建設業","1.産業_電気・ガス","1.産業_卸売・小売業","1.産業_金融・保険業","1.産業_不動産業","1.産業_運輸業","1.産業_情報通信業","1.産業_サービス業","2.政府サービス生産者","3.対家計民間非営利サービス生産者"," 小  計(1+2+3)","輸入品に課される税・関税","（控除）総資本形成に係る消費税","市町村内総 生 産","（再掲）第一次産業","（再掲）第二次産業","（再掲）第三次産業"
"和歌山県計","85.6","2.0","0.1","0.2","0.0","27.9","4.6","2.1","8.9","4.2","11.7","4.1","2.3","17.4","11.5","2.3","99.4","1.2","0.6","100.0","2.2","32.6","64.6"
"和歌山市","87.5","0.3","0.0","0.0","0.0","37.0","3.5","2.0","8.4","4.5","10.5","3.9","2.4","15.1","10.0","1.8","99.4","1.2","0.6","100.0","0.3","40.4","58.6"
"海南市","91.6","2.0","0.0","0.0","0.1","43.7","4.0","1.6","6.3","2.2","10.4","7.7","2.1","11.3","6.2","1.6","99.4","1.2","0.6","100.0","2.1","47.7","49.6"
"橋本市","80.8","2.1","0.0","0.0","0.0","8.0","6.2","2.9","10.1","5.4","18.6","2.9","2.6","21.9","16.2","2.3","99.4","1.2","0.6","100.0","2.2","14.2","83.0"
"有田市","92.7","3.2","0.0","0.6","0.0","45.9","2.6","1.1","6.4","2.8","11.8","2.9","1.1","14.1","5.2","1.5","99.4","1.2","0.6","100.0","3.9","48.6","46.9"
"御坊市","79.5","2.7","0.0","0.4","0.0","9.2","4.3","3.7","12.1","5.5","10.7","4.0","4.3","22.6","17.6","2.3","99.4","1.2","0.6","100.0","3.1","13.5","82.8"
"田辺市","82.3","2.7","0.3","0.4","0.1","7.1","5.7","2.9","14.7","5.5","11.1","3.2","3.3","25.4","14.9","2.1","99.4","1.2","0.6","100.0","3.4","12.9","83.0"
"新宮市","80.8","0.4","0.2","0.1","0.1","3.4","4.6","5.9","16.0","5.9","10.8","4.8","3.9","24.5","15.7","2.9","99.4","1.2","0.6","100.0","0.7","8.2","90.5"
"紀の川市","88.3","6.8","0.0","0.0","0.1","27.6","6.5","1.6","8.3","2.8","13.6","4.5","1.3","15.1","9.0","2.1","99.4","1.2","0.6","100.0","6.9","34.2","58.2"
"岩出市","81.8","0.9","0.0","0.0","0.9","4.9","8.2","0.8","14.3","5.8","18.8","3.9","2.2","21.0","16.2","1.4","99.4","1.2","0.6","100.0","0.9","14.0","84.4"
"海草郡_紀美野町","83.1","6.3","0.2","0.2","0.0","22.2","7.9","1.2","3.8","2.8","13.3","2.7","1.2","21.3","14.0","2.2","99.4","1.2","0.6","100.0","6.7","30.1","62.6"
"伊都郡_かつらぎ町","82.2","7.9","0.1","0.0","0.1","20.6","8.5","1.4","6.0","2.7","13.5","2.8","1.3","17.3","15.7","1.5","99.4","1.2","0.6","100.0","8.1","29.3","62.1"
"伊都郡_九度山町","82.6","8.5","0.3","0.0","0.0","3.9","7.7","1.4","4.5","4.5","20.7","6.1","1.5","23.5","13.3","3.5","99.4","1.2","0.6","100.0","8.8","11.6","79.0"
"伊都郡_高野町","43.9","0.4","0.3","0.0","0.0","3.6","2.3","0.5","4.3","2.4","7.0","2.3","2.7","18.2","7.2","48.2","99.4","1.2","0.6","100.0","0.7","5.9","92.8"
"有田郡_湯浅町","74.0","4.0","0.0","0.5","0.0","9.0","3.9","1.7","10.9","6.0","14.3","3.2","2.2","18.2","23.1","2.2","99.4","1.2","0.6","100.0","4.5","12.9","82.0"
"有田郡_広川町","74.1","9.6","0.2","0.1","0.0","13.6","7.9","0.5","4.1","2.0","15.5","7.7","1.0","11.9","22.5","2.7","99.4","1.2","0.6","100.0","9.9","21.5","68.0"
"有田郡_有田川町","84.1","9.4","0.2","0.1","0.0","16.2","6.5","1.0","9.8","2.4","13.0","7.2","1.8","16.6","13.2","2.1","99.4","1.2","0.6","100.0","9.6","22.7","67.0"
"日高郡_美浜町","68.1","2.1","0.0","0.2","0.0","9.6","4.8","1.3","2.6","2.2","16.4","0.9","1.1","26.9","30.0","1.3","99.4","1.2","0.6","100.0","2.3","14.4","82.6"
"日高郡_日高町","84.4","6.9","0.1","5.1","0.0","11.8","7.7","3.1","5.4","2.6","20.6","3.2","1.3","16.4","10.8","4.1","99.4","1.2","0.6","100.0","12.2","19.5","67.7"
"日高郡_由良町","85.3","2.1","0.0","0.4","0.0","46.4","8.0","1.0","3.8","1.9","9.3","3.2","0.7","8.5","11.9","2.1","99.4","1.2","0.6","100.0","2.6","54.4","42.4"
"日高郡印南町","85.6","10.9","0.3","0.2","0.0","23.9","9.3","0.8","6.0","2.9","12.9","4.4","1.2","12.9","10.6","3.2","99.4","1.2","0.6","100.0","11.4","33.2","54.7"
"日高郡みなべ町","84.8","11.6","0.2","1.7","0.0","26.0","7.1","0.7","6.9","2.6","11.0","4.1","1.4","11.4","12.7","1.9","99.4","1.2","0.6","100.0","13.5","33.1","52.8"
"日高郡日高川町","81.2","7.1","0.9","0.2","0.0","29.7","10.9","1.4","2.9","2.0","10.5","2.4","1.3","11.9","14.6","3.5","99.4","1.2","0.6","100.0","8.1","40.6","50.6"
"西牟婁郡_白浜町","85.2","1.3","0.2","0.0","0.0","5.5","6.3","1.5","7.8","2.4","12.1","4.1","1.8","42.1","11.3","2.9","99.4","1.2","0.6","100.0","1.5","11.8","86.0"
"西牟婁郡_上富田町","78.4","3.0","0.1","0.1","0.0","19.5","5.0","4.3","9.8","2.4","13.8","4.5","1.3","14.6","18.8","2.2","99.4","1.2","0.6","100.0","3.2","24.5","71.6"
"西牟婁郡_すさみ町","81.5","2.1","0.9","1.5","0.3","15.3","6.6","1.8","6.2","4.1","16.3","1.3","2.2","23.1","15.8","2.1","99.4","1.2","0.6","100.0","4.5","22.2","72.7"
"東牟婁郡_那智勝浦町","87.1","0.9","0.3","1.0","0.0","3.4","4.7","1.6","9.4","3.9","15.2","2.7","2.9","41.2","8.1","4.2","99.4","1.2","0.6","100.0","2.1","8.1","89.2"
"東牟婁郡_太地町","78.1","0.5","0.1","21.5","0.0","1.7","6.5","1.4","5.4","3.7","19.4","0.6","1.9","15.3","15.4","5.8","99.4","1.2","0.6","100.0","22.1","8.3","69.0"
"東牟婁郡_古座川町","70.1","2.8","2.8","0.4","0.3","2.1","14.5","0.8","4.1","4.2","17.4","1.0","3.1","16.5","21.4","7.9","99.4","1.2","0.6","100.0","6.1","16.9","76.4"
"東牟婁郡_北山村","91.1","0.4","0.5","0.0","0.0","1.0","5.1","71.1","1.2","1.1","2.8","0.0","1.0","7.0","7.4","0.9","99.4","1.2","0.6","100.0","0.9","6.0","92.4"
"東牟婁郡_串本町","72.5","0.5","0.2","1.4","0.0","3.1","4.5","2.1","9.4","4.6","14.3","1.5","2.7","28.2","25.5","1.4","99.4","1.2","0.6","100.0","2.0","7.6","89.8"
"海草地区","88.0","0.6","0.0","0.0","0.0","37.6","3.6","2.0","8.1","4.2","10.5","4.3","2.3","14.7","9.6","1.8","99.4","1.2","0.6","100.0","0.6","41.1","57.6"
"那賀地区","86.1","4.8","0.0","0.0","0.4","19.8","7.1","1.4","10.3","3.8","15.4","4.3","1.6","17.1","11.4","1.8","99.4","1.2","0.6","100.0","4.9","27.3","67.2"
"伊都地区","77.6","3.5","0.1","0.0","0.0","10.3","6.4","2.2","8.4","4.4","16.4","3.0","2.2","20.6","15.1","6.6","99.4","1.2","0.6","100.0","3.6","16.7","79.0"
"有田地区","85.7","5.8","0.1","0.4","0.0","28.3","4.4","1.1","8.1","3.1","12.8","4.7","1.5","15.4","11.7","1.9","99.4","1.2","0.6","100.0","6.3","32.7","60.4"
