"項目","1.産業","1.産業_農業","1.産業_林業","1.産業_水産業","1.産業_鉱業","1.産業_製造業","1.産業_建設業","1.産業_電気・ガス","1.産業_卸売・小売業","1.産業_金融・保険業","1.産業_不動産業","1.産業_運輸業","1.産業_情報通信業","1.産業_サービス業","2.政府サービス生産者","3.対家計民間非営利サービス生産者"," 小  計(1+2+3)","輸入品に課される税・関税","（控除）総資本形成に係る消費税","市町村内総 生 産","（再掲）第一次産業","（再掲）第二次産業","（再掲）第三次産業"
"和歌山県計","3078702.0","76381.0","4288.0","9366.0","12840.0","954453.0","172121.0","106382.0","349792.0","183361.0","368633.0","129341.0","87583.0","624161.0","419594.0","58387.0","3556683.0","30487.0","15423.0","3571747.0","90035.0","1139414.0","2327233.0"
"和歌山市","1538157.0","6006.0","93.0","475.0","10647.0","614887.0","54776.0","51564.0","158441.0","101203.0","158143.0","63905.0","49535.0","268482.0","187289.0","23885.0","1749330.0","14995.0","7586.0","1756740.0","6574.0","680310.0","1062446.0"
"海南市","203113.0","4035.0","32.0","160.0","225.0","88141.0","6826.0","6842.0","18645.0","6740.0","23077.0","16158.0","5151.0","27081.0","13611.0","2116.0","218840.0","1876.0","949.0","219767.0","4227.0","95191.0","119422.0"
"橋本市","121949.0","3406.0","116.0","11.0","92.0","14867.0","10112.0","6663.0","15087.0","9481.0","24131.0","4743.0","3873.0","29365.0","21278.0","3273.0","146500.0","1256.0","635.0","147120.0","3533.0","25072.0","117894.0"
"有田市","120429.0","3225.0","11.0","1249.0","0.0","67863.0","3817.0","925.0","8103.0","3532.0","12124.0","2905.0","1381.0","15294.0","6978.0","944.0","128351.0","1100.0","557.0","128895.0","4485.0","71680.0","52186.0"
"御坊市","81728.0","2820.0","22.0","390.0","0.0","7994.0","5991.0","6737.0","14133.0","6191.0","9229.0","3381.0","1897.0","22943.0","17575.0","1392.0","100696.0","863.0","437.0","101122.0","3232.0","13985.0","83478.0"
"田辺市","198944.0","8826.0","1158.0","1139.0","313.0","16949.0","15319.0","10621.0","37276.0","15670.0","22778.0","6003.0","5772.0","57117.0","34303.0","4683.0","237931.0","2039.0","1032.0","238938.0","11124.0","32581.0","194226.0"
"新宮市","89631.0","456.0","294.0","108.0","144.0","5154.0","7645.0","7125.0","17505.0","7569.0","9836.0","3387.0","4413.0","25998.0","17017.0","2769.0","109417.0","938.0","474.0","109880.0","857.0","12942.0","95617.0"
"紀の川市","141508.0","11482.0","113.0","214.0","335.0","39015.0","10764.0","3900.0","13793.0","5898.0","22163.0","6084.0","2221.0","25527.0","16133.0","3651.0","161292.0","1383.0","699.0","161975.0","11809.0","50114.0","99369.0"
"岩出市","72749.0","1087.0","30.0","3.0","701.0","4758.0","9489.0","584.0","14056.0","4859.0","14222.0","2061.0","1965.0","18934.0","12752.0","1679.0","87181.0","747.0","378.0","87550.0","1119.0","14948.0","71113.0"
